时间,预测资产值(百万)
2025-07-31,6727.032173845454
2025-08-31,6852.924286230909
2025-09-30,6978.816398616364
2025-10-31,7104.708511001818
2025-11-30,7230.600623387273
2025-12-31,7356.492735772727
2026-01-31,7482.384848158182
2026-02-28,7608.276960543636
2026-03-31,7734.16907292909
2026-04-30,7860.061185314545
2026-05-31,7985.9532977
2026-06-30,8111.845410085454
