iter	RMSE
0	1.143681141
1	1.113587183
2	1.084432808
3	1.056330224
4	1.029162536
5	1.0027041
6	0.9772004481
7	0.9524730831
8	0.92852075
9	0.9054290327
10	0.8826216343
11	0.8609078488
12	0.8398518659
13	0.8197561238
14	0.7996518182
15	0.7803863151
16	0.7620720765
17	0.744058793
18	0.7262733516
19	0.7094347906
20	0.6932138973
21	0.6773678635
22	0.662141464
23	0.6473320377
24	0.6330340617
25	0.6192736922
26	0.6056709517
27	0.5926539588
28	0.5803077753
29	0.567984807
30	0.5561653577
31	0.5448176639
32	0.5338029743
33	0.5232186076
34	0.513044108
35	0.5031187309
36	0.4937298154
37	0.4846115165
38	0.4757589971
39	0.4671457143
40	0.458766253
41	0.4508640811
42	0.4433740764
43	0.4359483243
44	0.4287434047
45	0.4216644527
46	0.4151170088
47	0.4087729738
48	0.4025722986
49	0.3965835876
50	0.3908927093
51	0.3853644762
52	0.3799637599
53	0.3749330498
54	0.3699954515
55	0.3653439875
56	0.3607199191
57	0.3563173947
58	0.3521202136
59	0.3480028376
60	0.3441023037
61	0.3404074099
62	0.3368413922
63	0.3333752405
64	0.3299834352
65	0.3267817574
66	0.323765503
67	0.3207737354
68	0.3178654991
69	0.3150483078
70	0.3124914367
71	0.3099295342
72	0.3074423949
73	0.3051204892
74	0.302881969
75	0.3007281855
76	0.2986001776
77	0.2966442033
78	0.294636848
79	0.2928468966
80	0.2909821722
81	0.2892649468
82	0.2876153144
83	0.2859720348
84	0.2845460669
85	0.2830983406
86	0.2817089173
87	0.2803264541
88	0.2789572852
89	0.2776826196
90	0.2764499252
91	0.275219771
92	0.2740151216
93	0.2728663583
94	0.2717339752
95	0.2706651731
96	0.2696625086
97	0.2686700895
98	0.2677251257
99	0.2667894804
100	0.2658507646
101	0.265069528
102	0.2642585011
103	0.2634282316
104	0.2626860389
105	0.261930108
106	0.2612341989
107	0.2605628449
108	0.2598718423
109	0.2592067208
110	0.2586016971
111	0.2579554316
112	0.2573590291
113	0.2567911182
114	0.2561840576
115	0.2556678159
116	0.2551345832
117	0.2546228305
118	0.2541598419
119	0.2536734541
120	0.2532074343
121	0.2526977586
122	0.2521913408
123	0.2517691831
124	0.2513198316
125	0.25093064
126	0.2505434169
127	0.2501300097
128	0.2497820636
129	0.2494430345
130	0.249086505
131	0.2488281703
132	0.2484843789
133	0.2481321507
134	0.247780302
135	0.2474144657
136	0.247080047
137	0.2467522702
138	0.2463902405
139	0.246014358
140	0.2456575604
141	0.2453486992
142	0.244988653
143	0.2446396591
144	0.244348639
145	0.2441431091
146	0.2438033031
147	0.2435534013
148	0.2431977608
149	0.2429386755
150	0.2426858725
151	0.2424269859
152	0.2421475822
