iter	Logloss
0	0.6588722355
1	0.6293273561
2	0.601760575
3	0.577179172
4	0.5505497296
5	0.5246849603
6	0.5107564428
7	0.4952172108
8	0.4769049055
9	0.4637967675
10	0.4500574732
11	0.4355594771
12	0.4248342816
13	0.4183405627
14	0.4108669824
15	0.4040546167
16	0.3971860093
17	0.387974979
18	0.3815235865
19	0.373506232
20	0.3716292028
21	0.3639469453
22	0.3577593507
23	0.3517816589
24	0.3472187602
25	0.3424565699
26	0.3394955956
27	0.3387900784
28	0.338156274
29	0.333907699
30	0.3303431731
31	0.3280823695
32	0.3238787709
33	0.3213205901
34	0.3181878597
35	0.316116937
36	0.3122125799
37	0.3114964949
38	0.3094348232
39	0.3057833427
40	0.3032763343
41	0.3003709084
42	0.3000391464
43	0.2970355772
44	0.2933349174
45	0.2915166085
46	0.2875162229
47	0.2853953855
48	0.2827097062
49	0.2808855664
50	0.2787925385
51	0.276180828
52	0.2733130681
53	0.2709756053
54	0.2689313177
55	0.2680210453
56	0.2658697007
57	0.2655195764
58	0.2635963559
59	0.2620752771
60	0.2597618848
61	0.2580374935
62	0.2558951436
63	0.2549461427
64	0.2537588632
65	0.2517632412
66	0.2509452573
67	0.2491150903
68	0.2490563252
69	0.2481619134
70	0.2467650427
71	0.2457546747
72	0.2442650293
73	0.2434158903
74	0.2421900135
75	0.2400586481
76	0.2386034538
77	0.2375750803
78	0.2368656264
79	0.2352157606
80	0.234060327
81	0.2338460418
82	0.2337854607
83	0.2322886373
84	0.2318869932
85	0.2308029684
86	0.2294306446
87	0.2272859484
88	0.2264697558
89	0.2254229186
90	0.2253364353
91	0.2242065297
92	0.2229447362
93	0.2218402257
94	0.2208641819
95	0.2200052392
96	0.2198323941
97	0.2190659405
98	0.2184100386
99	0.2181429501
100	0.2173053921
101	0.2162873888
102	0.2151355758
103	0.214166469
104	0.214059435
105	0.2128678511
106	0.2121674237
107	0.2109768348
108	0.2102789375
109	0.208397604
110	0.2073006968
111	0.2072656789
112	0.2065694964
113	0.2055703462
114	0.2052200973
115	0.203771242
116	0.2028324935
117	0.2014087437
118	0.2007959599
119	0.2004098894
120	0.1995770228
121	0.1990956861
122	0.1982543997
123	0.1968061864
124	0.1962003108
125	0.1956837224
126	0.1947841157
127	0.1947485134
128	0.1938075852
129	0.1933240271
130	0.1926314722
131	0.1915762166
132	0.1907984312
133	0.1888451047
134	0.1872744419
135	0.187122447
136	0.1862654667
137	0.185334816
138	0.1847509186
139	0.1842376517
140	0.1835561687
141	0.1831677851
142	0.1823013897
143	0.1814540778
144	0.1808083054
145	0.1799664486
146	0.1795621174
147	0.1787351228
148	0.1778504463
149	0.1769770783
150	0.1763960214
151	0.1754500607
152	0.1746852514
153	0.173579343
154	0.1731153944
155	0.1730854026
156	0.1725055924
157	0.1712351802
158	0.1703774928
159	0.1692185753
160	0.1682541079
161	0.1681770637
162	0.1673413751
163	0.1670736249
164	0.1661278614
165	0.1652808175
166	0.16508315
167	0.1639821064
168	0.1628309767
169	0.1614320853
170	0.1607165419
171	0.1592120392
172	0.1591618765
173	0.1588038072
174	0.1586906303
175	0.1579673059
176	0.1570151355
177	0.1560657046
178	0.1554694501
179	0.1549431011
180	0.1547658199
181	0.1542742684
182	0.1539054495
183	0.1536400465
184	0.1530135779
185	0.1528646903
186	0.1524056313
187	0.151860083
188	0.1510854527
189	0.1501369545
190	0.1490452005
191	0.147776294
192	0.1469583357
193	0.1459750314
194	0.1454590012
195	0.1450749156
196	0.1443325108
197	0.143819024
198	0.1428657441
199	0.1419378957
200	0.1409498905
201	0.1401693673
202	0.1392543234
203	0.1381041002
204	0.1378937019
205	0.1370227836
206	0.1364909938
207	0.1357672714
208	0.1357177961
209	0.1352174587
210	0.1350196936
211	0.1340917253
212	0.1336867836
213	0.1329971709
214	0.1327126049
215	0.1316117471
216	0.1310549408
217	0.1309132334
218	0.130074099
219	0.1290908792
220	0.1283135988
221	0.1277549582
222	0.127559819
223	0.1271290828
224	0.1270855696
225	0.1263009528
226	0.1257648554
227	0.1251625552
228	0.1247194168
229	0.1241823245
230	0.1233440241
231	0.122886697
232	0.1224096708
233	0.1219432043
234	0.1210238618
235	0.120419105
236	0.1198230321
237	0.1192597382
238	0.1191338411
239	0.1188280107
240	0.118176013
241	0.1177470475
242	0.1172165243
243	0.1171823859
244	0.1166665624
245	0.1162125502
246	0.1156406817
247	0.1150672764
248	0.1146489882
249	0.1142362958
250	0.1139356588
251	0.1132465499
252	0.1128786548
253	0.1128239925
254	0.1122579499
255	0.1118408301
256	0.1115608716
257	0.1110830073
258	0.1106912384
259	0.1106478975
260	0.1097483854
261	0.1094668324
262	0.1088493518
263	0.1084560573
264	0.1078723959
265	0.1072695227
266	0.106752986
267	0.1063860036
268	0.1063195753
269	0.105965936
270	0.1054674315
271	0.1049057138
272	0.104491523
273	0.1039989356
274	0.1038348045
275	0.1037248183
276	0.1035188426
277	0.1029935083
278	0.1027073474
279	0.102396186
280	0.1020576882
281	0.1015734663
282	0.1011724212
283	0.100744394
284	0.09997980027
285	0.09959852142
286	0.09907756997
287	0.09902871515
288	0.09837955481
289	0.09813376723
290	0.09787349175
291	0.09757707083
292	0.09716998864
293	0.09713101393
294	0.09686926819
295	0.0960930387
296	0.09552825212
297	0.09520405061
298	0.09440927012
299	0.09384051114
300	0.09325051201
301	0.09251653056
302	0.09234565743
303	0.09208279487
304	0.0915224125
305	0.09125846557
306	0.09074908241
307	0.089960491
308	0.08961872402
309	0.08911598468
310	0.08857395174
311	0.08814623848
312	0.0877504963
313	0.08702420224
314	0.0867041566
315	0.08649083593
316	0.08645637682
317	0.08562176973
318	0.08516512319
319	0.0844886572
320	0.08447119929
321	0.08368002118
322	0.08365637689
323	0.08327555297
324	0.08277920052
325	0.08262929309
326	0.08232267692
327	0.08180896426
328	0.08179660152
329	0.08124319981
330	0.08067926546
331	0.08044002722
332	0.08015299206
333	0.07993282741
334	0.07977536124
335	0.07929768182
336	0.07895323184
337	0.07859122787
338	0.07834467767
339	0.07817650928
340	0.07809864723
341	0.07752242756
342	0.07716736543
343	0.07672109555
344	0.07652799453
345	0.07621143906
346	0.07596315951
347	0.07593557336
348	0.07573362368
349	0.07512846851
350	0.07495106252
351	0.07471064562
352	0.07467133518
353	0.07450366298
354	0.07431291183
355	0.07389135956
356	0.07371145659
357	0.07365277303
358	0.07305027372
359	0.07290668411
360	0.07263589848
361	0.07220239344
362	0.07194803106
363	0.07168504441
364	0.07159001169
365	0.07157075613
366	0.07125752578
367	0.07109236417
368	0.07104655456
369	0.0707844705
370	0.07077012123
371	0.07063577171
372	0.07047723798
373	0.070081934
374	0.0695500435
375	0.06923957145
376	0.06856916591
377	0.06851241165
378	0.06823748672
379	0.06782202377
380	0.06755815255
381	0.06699613735
382	0.06670380214
383	0.06638958492
384	0.06626153396
385	0.06596093081
386	0.06573566684
387	0.06553559678
388	0.06531498433
389	0.065196966
390	0.06508861453
391	0.06488748411
392	0.06469299873
393	0.0646817646
394	0.06438591119
395	0.06414147024
396	0.0639187796
397	0.06339316717
398	0.06317553151
399	0.06299401229
400	0.0626245198
401	0.0624357438
402	0.06218507233
403	0.06193149542
404	0.06191399489
405	0.06154240387
406	0.06130372176
407	0.06102026867
408	0.06099624139
409	0.06095204546
410	0.06057047859
411	0.0603722792
412	0.06014695653
413	0.06004819
414	0.05983791827
415	0.05945087047
416	0.05931895651
417	0.05900571604
418	0.05871894472
419	0.05842555986
420	0.05821509989
421	0.05784429881
422	0.05759331274
423	0.05733014796
424	0.05721844568
425	0.05696301597
426	0.05676879774
427	0.05656575665
428	0.05622074875
429	0.05621278946
430	0.05603165682
431	0.05572817472
432	0.0555597541
433	0.05525705262
434	0.05503927059
435	0.05469408735
436	0.05438656326
437	0.0543135591
438	0.05402760885
439	0.05384441507
440	0.05363421331
441	0.05330671678
442	0.05310766878
443	0.05294720321
444	0.05285799655
445	0.05284856781
446	0.05281029686
447	0.05261483032
448	0.05231760771
449	0.05225782004
450	0.05218976481
451	0.05192552317
452	0.0515661376
453	0.05122841264
454	0.05099529824
455	0.05082877839
456	0.05072757798
457	0.05059823141
458	0.05052410751
459	0.05048418316
460	0.05030506388
461	0.05013341558
462	0.04994136688
463	0.04978502321
464	0.04977633467
465	0.04950479751
466	0.04931743442
467	0.04928513305
468	0.04914940078
469	0.04900704791
470	0.04889839412
471	0.04874616188
472	0.04864943144
473	0.04853851692
474	0.04829029071
475	0.04814369077
476	0.04813204343
477	0.04795307115
478	0.04773128334
479	0.04769191023
480	0.0474056836
481	0.04722050884
482	0.04706984992
483	0.046921177
484	0.04688505063
485	0.04669946471
486	0.04669337416
487	0.04657408579
488	0.04627761406
489	0.04621521246
490	0.046079369
491	0.04579019188
492	0.04560044984
493	0.04552332919
494	0.04538344434
495	0.04523385805
496	0.04489023386
497	0.04484513034
498	0.04482982131
499	0.04462881257
