iter	Passed	Remaining
402	13428	3232
403	13465	3199
404	13498	3166
405	13531	3132
406	13575	3102
407	13607	3068
408	13639	3034
409	13672	3001
410	13706	2968
411	13738	2934
412	13771	2901
413	13804	2867
414	13836	2834
415	13869	2800
416	13902	2767
417	13933	2733
418	13967	2700
419	14001	2666
420	14034	2633
421	14071	2600
422	14104	2567
423	14136	2533
424	14169	2500
425	14202	2467
426	14237	2433
427	14268	2400
428	14301	2366
429	14332	2333
430	14365	2299
431	14398	2266
432	14431	2232
433	14461	2199
434	14493	2165
435	14524	2132
436	14558	2098
437	14603	2067
438	14635	2033
439	14668	2000
440	14703	1967
441	14735	1933
442	14767	1900
443	14799	1866
444	14831	1833
445	14865	1799
446	14897	1766
447	14929	1732
448	14963	1699
449	14996	1666
450	15029	1632
451	15066	1599
452	15100	1566
453	15132	1533
454	15165	1499
455	15202	1466
456	15236	1433
457	15269	1400
458	15302	1366
459	15333	1333
460	15366	1299
461	15398	1266
462	15430	1233
463	15463	1199
464	15495	1166
465	15527	1132
466	15562	1099
467	15595	1066
468	15627	1032
469	15659	999
470	15693	966
471	15725	932
472	15758	899
473	15791	866
474	15823	832
475	15858	799
476	15891	766
477	15924	732
478	15958	699
479	15991	666
480	16024	633
481	16058	599
482	16096	566
483	16129	533
484	16162	499
485	16193	466
486	16225	433
487	16257	399
488	16291	366
489	16323	333
490	16356	299
491	16389	266
492	16422	233
493	16454	199
494	16487	166
495	16519	133
496	16552	99
497	16590	66
498	16630	33
499	16666	0
