experiment_id,group_cols,rmse_purchase,rmse_redeem,total_rmse
79,is_holiday|is_workday_shift|is_long_holiday,65528397.74391139,70150223.83800305,135678621.58191445
80,is_holiday|is_month_end|holiday_len,65041575.25631357,69625514.51583125,134667089.77214482
81,is_holiday|is_month_end|is_long_holiday,65452876.17482679,70129057.71567369,135581933.8905005
82,is_holiday|holiday_len|is_long_holiday,65512337.125827745,70399662.13313253,135911999.25896028
83,is_next_workday|is_workday_shift|is_month_end,82484403.39591184,83092997.26373117,165577400.659643
84,is_next_workday|is_workday_shift|holiday_len,64842597.01099021,67335404.08255875,132178001.09354895
85,is_next_workday|is_workday_shift|is_long_holiday,82108301.41297397,82971017.49756312,165079318.9105371
86,is_next_workday|is_month_end|holiday_len,63789823.86882546,66418320.0793678,130208143.94819325
87,is_next_workday|is_month_end|is_long_holiday,81737017.7663758,82591766.49633661,164328784.26271242
88,is_next_workday|holiday_len|is_long_holiday,64887425.025368124,67450802.71732631,132338227.74269444
89,is_workday_shift|is_month_end|holiday_len,65036261.05077858,69216407.53324372,134252668.58402228
90,is_workday_shift|is_month_end|is_long_holiday,85349845.278661,89037332.65903856,174387177.93769956
91,is_workday_shift|holiday_len|is_long_holiday,65507585.16739467,70007252.35020451,135514837.51759917
92,is_month_end|holiday_len|is_long_holiday,65041575.25631357,69625514.51583125,134667089.77214482
93,weekday|month_period|is_holiday|is_next_workday,52113731.025018506,62412170.94681794,114525901.97183645
94,weekday|month_period|is_holiday|is_workday_shift,52491225.503707826,62491876.2541896,114983101.75789744
95,weekday|month_period|is_holiday|is_month_end,51226583.515934646,61310695.06393311,112537278.57986775
96,weekday|month_period|is_holiday|holiday_len,52416854.086706676,62472328.59029576,114889182.67700243
97,weekday|month_period|is_holiday|is_long_holiday,52416854.086706676,62472328.59029576,114889182.67700243
98,weekday|month_period|is_next_workday|is_workday_shift,55883602.594252475,64476260.94084785,120359863.53510033
99,weekday|month_period|is_next_workday|is_month_end,54697450.97119482,63332100.520715,118029551.49190982
100,weekday|month_period|is_next_workday|holiday_len,52038820.11358413,62392598.31117603,114431418.42476016
101,weekday|month_period|is_next_workday|is_long_holiday,54586902.52881209,63938115.28647038,118525017.81528246
102,weekday|month_period|is_workday_shift|is_month_end,57141527.170241006,64715837.713833384,121857364.88407439
103,weekday|month_period|is_workday_shift|holiday_len,52416854.086706676,62472328.59029576,114889182.67700243
104,weekday|month_period|is_workday_shift|is_long_holiday,54947408.6852434,64015920.69056023,118963329.37580362
105,weekday|month_period|is_month_end|holiday_len,51150373.37284077,61290770.68325647,112441144.05609724
106,weekday|month_period|is_month_end|is_long_holiday,54041678.835161105,64954555.37035165,118996234.20551276
107,weekday|month_period|holiday_len|is_long_holiday,52416854.086706676,62472328.59029576,114889182.67700243
108,weekday|is_holiday|is_next_workday|is_workday_shift,60135124.26223632,65155099.18867118,125290223.4509075
109,weekday|is_holiday|is_next_workday|is_month_end,58660899.55150744,64092306.67673295,122753206.2282404
110,weekday|is_holiday|is_next_workday|holiday_len,60129678.78674117,65144674.63161644,125274353.41835761
111,weekday|is_holiday|is_next_workday|is_long_holiday,60129678.78674117,65144674.63161644,125274353.41835761
112,weekday|is_holiday|is_workday_shift|is_month_end,58760458.854703344,64177589.96190161,122938048.81660496
113,weekday|is_holiday|is_workday_shift|holiday_len,60219244.5469271,65258062.12160309,125477306.6685302
114,weekday|is_holiday|is_workday_shift|is_long_holiday,60219244.5469271,65258062.12160309,125477306.6685302
115,weekday|is_holiday|is_month_end|holiday_len,58752751.8607465,64169045.351414286,122921797.2121608
116,weekday|is_holiday|is_month_end|is_long_holiday,58752751.8607465,64169045.351414286,122921797.2121608
117,weekday|is_holiday|holiday_len|is_long_holiday,60219244.5469271,65258062.12160309,125477306.6685302
118,weekday|is_next_workday|is_workday_shift|is_month_end,61270488.34859534,66375350.07306257,127645838.42165792
119,weekday|is_next_workday|is_workday_shift|holiday_len,60129678.78674117,65144674.63161644,125274353.41835761
120,weekday|is_next_workday|is_workday_shift|is_long_holiday,61530964.20343907,66892025.103537284,128422989.30697635
121,weekday|is_next_workday|is_month_end|holiday_len,58653179.47551704,64083750.69499502,122736930.17051207
122,weekday|is_next_workday|is_month_end|is_long_holiday,60147503.02533118,65862945.1593552,126010448.18468638
123,weekday|is_next_workday|holiday_len|is_long_holiday,60129678.78674117,65144674.63161644,125274353.41835761
124,weekday|is_workday_shift|is_month_end|holiday_len,58752751.8607465,64169045.351414286,122921797.2121608
125,weekday|is_workday_shift|is_month_end|is_long_holiday,60244605.64071659,65945938.64096423,126190544.28168082
126,weekday|is_workday_shift|holiday_len|is_long_holiday,60219244.5469271,65258062.12160309,125477306.6685302
127,weekday|is_month_end|holiday_len|is_long_holiday,58752751.8607465,64169045.351414286,122921797.2121608
128,month_period|is_holiday|is_next_workday|is_workday_shift,58699995.343859866,65754225.7948945,124454221.13875437
129,month_period|is_holiday|is_next_workday|is_month_end,58356442.55653216,65281880.527243964,123638323.08377612
130,month_period|is_holiday|is_next_workday|holiday_len,58570405.95341075,65533346.19805927,124103752.15147002
131,month_period|is_holiday|is_next_workday|is_long_holiday,58732642.997207806,65934079.50782807,124666722.50503588
132,month_period|is_holiday|is_workday_shift|is_month_end,59978854.872749574,68212543.63754012,128191398.5102897
133,month_period|is_holiday|is_workday_shift|holiday_len,59908871.73043135,67986761.36927944,127895633.09971079
134,month_period|is_holiday|is_workday_shift|is_long_holiday,60067493.804081805,68373116.77928141,128440610.5833632
135,month_period|is_holiday|is_month_end|holiday_len,59426628.752219744,68130409.58235866,127557038.3345784
136,month_period|is_holiday|is_month_end|is_long_holiday,59936874.425438076,68762548.07949366,128699422.50493173
137,month_period|is_holiday|holiday_len|is_long_holiday,60017993.56960178,68548370.64074077,128566364.21034256
138,month_period|is_next_workday|is_workday_shift|is_month_end,78825847.69139592,81279061.35032658,160104909.0417225
139,month_period|is_next_workday|is_workday_shift|holiday_len,58382684.05457163,65342117.70458929,123724801.75916092
140,month_period|is_next_workday|is_workday_shift|is_long_holiday,77553429.04376304,81530794.23504423,159084223.27880728
141,month_period|is_next_workday|is_month_end|holiday_len,57675375.34125069,64605310.38167809,122280685.72292878
142,month_period|is_next_workday|is_month_end|is_long_holiday,77554032.23666868,81097915.88886671,158651948.12553537
143,month_period|is_next_workday|holiday_len|is_long_holiday,58570405.95341075,65533346.19805927,124103752.15147002
144,month_period|is_workday_shift|is_month_end|holiday_len,59316419.01486186,67565326.26904812,126881745.28390998
145,month_period|is_workday_shift|is_month_end|is_long_holiday,81649424.36829486,87705649.91937032,169355074.2876652
146,month_period|is_workday_shift|holiday_len|is_long_holiday,59908871.73043135,67986761.36927944,127895633.09971079
147,month_period|is_month_end|holiday_len|is_long_holiday,59426628.752219744,68130409.58235866,127557038.3345784
148,is_holiday|is_next_workday|is_workday_shift|is_month_end,64189081.013204895,66803421.70585932,130992502.7190642
149,is_holiday|is_next_workday|is_workday_shift|holiday_len,64842597.01099021,67335404.08255875,132178001.09354895
150,is_holiday|is_next_workday|is_workday_shift|is_long_holiday,64863622.96041181,67484036.37793303,132347659.33834484
151,is_holiday|is_next_workday|is_month_end|holiday_len,63789823.86882546,66418320.0793678,130208143.94819325
152,is_holiday|is_next_workday|is_month_end|is_long_holiday,64209143.56188128,66945990.967789955,131155134.52967124
153,is_holiday|is_next_workday|holiday_len|is_long_holiday,64887425.025368124,67450802.71732631,132338227.74269444
154,is_holiday|is_workday_shift|is_month_end|holiday_len,65036261.05077858,69216407.53324372,134252668.58402228
155,is_holiday|is_workday_shift|is_month_end|is_long_holiday,65447595.366060056,69722905.39200255,135170500.7580626
156,is_holiday|is_workday_shift|holiday_len|is_long_holiday,65507585.16739467,70007252.35020451,135514837.51759917
157,is_holiday|is_month_end|holiday_len|is_long_holiday,65041575.25631357,69625514.51583125,134667089.77214482
158,is_next_workday|is_workday_shift|is_month_end|holiday_len,63751213.040406555,66269147.347608946,130020360.38801551
159,is_next_workday|is_workday_shift|is_month_end|is_long_holiday,81706888.37698057,82471853.02270795,164178741.39968854
160,is_next_workday|is_workday_shift|holiday_len|is_long_holiday,64842597.01099021,67335404.08255875,132178001.09354895
161,is_next_workday|is_month_end|holiday_len|is_long_holiday,63789823.86882546,66418320.0793678,130208143.94819325
162,is_workday_shift|is_month_end|holiday_len|is_long_holiday,65036261.05077858,69216407.53324372,134252668.58402228
163,weekday|month_period|is_holiday|is_next_workday|is_workday_shift,52113731.025018506,62412170.94681794,114525901.97183645
164,weekday|month_period|is_holiday|is_next_workday|is_month_end,50839699.69602393,61229452.17579913,112069151.87182307
165,weekday|month_period|is_holiday|is_next_workday|holiday_len,52038820.11358413,62392598.31117603,114431418.42476016
166,weekday|month_period|is_holiday|is_next_workday|is_long_holiday,52038820.11358413,62392598.31117603,114431418.42476016
167,weekday|month_period|is_holiday|is_workday_shift|is_month_end,51226583.515934646,61310695.06393311,112537278.57986775
168,weekday|month_period|is_holiday|is_workday_shift|holiday_len,52416854.086706676,62472328.59029576,114889182.67700243
169,weekday|month_period|is_holiday|is_workday_shift|is_long_holiday,52416854.086706676,62472328.59029576,114889182.67700243
170,weekday|month_period|is_holiday|is_month_end|holiday_len,51150373.37284077,61290770.68325647,112441144.05609724
171,weekday|month_period|is_holiday|is_month_end|is_long_holiday,51150373.37284077,61290770.68325647,112441144.05609724
172,weekday|month_period|is_holiday|holiday_len|is_long_holiday,52416854.086706676,62472328.59029576,114889182.67700243
